"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.64349610814177,0.501,0.129,0,"0","Irgm1"
0,1.37276841070655,0.799,0.428,0,"0","Tcf4"
0,2.24298662928122,0.487,0.116,0,"0","Igfbp3"
0,2.6877240997167,0.402,0.032,0,"0","Sorbs2"
0,1.62033596664515,0.803,0.434,0,"0","Irf1"
0,3.29747288982115,0.424,0.056,0,"0","Slc30a1"
0,4.56396649397799,0.393,0.025,0,"0","Vwa1"
0,2.88876555716951,0.431,0.064,0,"0","Sema3f"
0,3.54221070761693,0.422,0.057,0,"0","Adgrl2"
0,6.39066352190419,0.369,0.004,0,"0","Plscr2"
0,2.04730321608918,0.519,0.155,0,"0","Snrk"
0,2.21337487527545,0.489,0.126,0,"0","Osmr"
0,1.21839676708511,0.819,0.456,0,"0","Aplp2"
0,1.98638261520557,0.545,0.183,0,"0","Sntb2"
0,4.03145096809629,0.394,0.032,0,"0","Dll4"
0,2.07833966113959,0.484,0.127,0,"0","Pqlc1"
0,3.59329708893515,0.391,0.035,0,"0","Plxna2"
0,2.39057306235272,0.488,0.132,0,"0","Ptpn12"
0,1.49922947505696,0.807,0.452,0,"0","Msn"
0,2.1576912826389,0.518,0.164,0,"0","Rps6ka3"
0,2.31998088856386,0.462,0.109,0,"0","Plxnd1"
0,3.55030725647314,0.379,0.028,0,"0","Spns2"
0,2.59941176423631,0.423,0.073,0,"0","Tmem88"
0,2.36187195966179,0.438,0.089,0,"0","Anxa3"
0,2.54925637872796,0.406,0.06,0,"0","Rasgrp3"
0,4.91961611925812,0.357,0.011,0,"0","Arhgef15"
0,4.50081871767082,0.358,0.015,0,"0","Adcy4"
0,1.67207769712001,0.891,0.549,0,"0","Klf2"
0,2.14421479315969,0.498,0.156,0,"0","9930111J21Rik2"
0,3.05808796499639,0.387,0.047,0,"0","Rai14"
0,2.76912223829353,0.425,0.085,0,"0","Arhgef7"
0,3.74702327642397,0.378,0.039,0,"0","Adamts9"
0,3.12501070056298,0.386,0.049,0,"0","Mrtfb"
0,2.61033323560003,0.409,0.076,0,"0","Rasa4"
0,3.20943450380506,0.375,0.043,0,"0","Galnt15"
0,3.06622636268952,0.381,0.054,0,"0","Synpo"
0,2.8498400983903,0.391,0.064,0,"0","Cemip2"
0,5.25006756217051,0.328,0.006,0,"0","Mecom"
0,3.23063860602623,0.4,0.079,0,"0","Noct"
0,6.49412125425934,0.324,0.003,0,"0","Exoc3l2"
0,1.82509629048129,0.862,0.541,0,"0","Lmna"
0,2.66979144519057,0.388,0.068,0,"0","Ripor1"
0,3.03165101153741,0.364,0.045,0,"0","Icam2"
0,2.92077507984081,0.397,0.078,0,"0","Lifr"
0,2.09877066581826,0.41,0.092,0,"0","Lmo2"
0,2.44647682918823,0.403,0.088,0,"0","Cdc42ep3"
0,2.17523448913048,0.387,0.073,0,"0","Pcp4l1"
0,2.72969358994186,0.373,0.06,0,"0","Hip1"
0,4.47653883285137,0.327,0.014,0,"0","Ushbp1"
0,4.38779610873023,0.332,0.02,0,"0","Mctp1"
0,5.66594850360093,0.321,0.009,0,"0","Tmem252"
0,2.17415784897057,0.384,0.073,0,"0","Rgs16"
0,2.41591841356267,0.401,0.093,0,"0","Tnfaip1"
0,4.79608170228572,0.322,0.014,0,"0","Vwf"
0,2.71428456910753,0.381,0.073,0,"0","Wars"
0,3.48189353089649,0.331,0.024,0,"0","Clca3a1"
0,4.67108635995078,0.317,0.011,0,"0","Nos3"
0,3.03392980025533,0.384,0.078,0,"0","Ifit1"
0,5.21262011931,0.316,0.012,0,"0","Col13a1"
0,2.5814980397921,0.39,0.087,0,"0","Ifi47"
0,3.0680081046431,0.344,0.041,0,"0","Sema7a"
0,3.49988799216631,0.341,0.039,0,"0","Tspan7"
0,1.96410218281511,0.369,0.068,0,"0","Sema6a"
0,3.21509642362788,0.337,0.037,0,"0","Rapgef5"
0,3.19297397759878,0.332,0.033,0,"0","Slc12a7"
0,3.3697547833694,0.342,0.044,0,"0","Vamp5"
0,4.53016537865626,0.311,0.014,0,"0","Nxpe4"
0,2.70424828265296,0.355,0.059,0,"0","Bcar1"
0,3.31480803065731,0.327,0.032,0,"0","Efna1"
